id,name,description
1,Английский язык: начальный уровень (A1),"Изучите основы английского языка с нуля. Базовая грамматика, повседневная лексика, произношение, простые диалоги. Научитесь представляться, заказывать еду, спрашивать дорогу."
2,Основы программирования на Python,"Изучите основы одного из самых популярных языков программирования. Курс охватывает синтаксис, структуры данных, функции и базовые алгоритмы. Подходит для начинающих без опыта программирования."
3,Финансовая грамотность и личные финансы,"Научитесь управлять своими деньгами эффективно. Бюджетирование, инвестиции, кредиты, пенсионное планирование, налоги. Создайте финансовую подушку безопасности."
4,Немецкий язык для начинающих,"Освойте базовый немецкий. Алфавит, произношение, основные времена, базовая лексика для путешествий и повседневного общения. Культурные особенности Германии."
5,"Веб-разработка: HTML, CSS и JavaScript","Научитесь создавать современные веб-сайты с нуля. Освойте HTML для структуры, CSS для стилей и JavaScript для интерактивности. Практические проекты включены."
6,Управление проектами: основы PMI,"Профессиональное управление проектами по стандартам PMI. Жизненный цикл проекта, планирование, управление рисками, коммуникации, закрытие проекта."
7,Испанский язык: разговорная практика,"Развитие навыков устной речи на испанском. Диалоги, ролевые игры, обсуждение актуальных тем, расширение словарного запаса, работа над произношением."
8,Тайм-менеджмент и продуктивность,"Эффективное управление временем и задачами. Методы планирования, приоритизация, борьба с прокрастинацией, работа с энергией, баланс жизни и работы."
9,Китайский язык: иероглифика для начинающих,"Введение в китайскую письменность. Основные иероглифы, ключи, порядок черт, пиньинь, тоны. Базовая грамматика и простые фразы для общения."
10,Основы бухгалтерского учета,"Фундаментальные принципы бухучета. Активы и пассивы, проводки, баланс, отчет о прибылях и убытках, первичная документация, налоговая отчетность."
11,Французский язык: средний уровень (B1),"Углубленное изучение французского. Сложные грамматические конструкции, расширенная лексика, работа с текстами, аудирование, письменная речь."
12,Дизайн-мышление и инновации,"Методология создания инновационных продуктов. Эмпатия к пользователю, генерация идей, прототипирование, тестирование, итеративный подход."
13,Итальянский язык: путешествия и культура,"Практический курс для путешественников. Лексика для отелей, ресторанов, транспорта, покупок. История и культура Италии, итальянская кухня."
14,Машинное обучение для бизнеса,"Применение ML в бизнес-процессах. Предсказательная аналитика, сегментация клиентов, оптимизация цен, детекция мошенничества. Кейсы из реальных компаний."
15,Публичные выступления и ораторское мастерство,"Научитесь выступать уверенно перед аудиторией. Структура презентации, работа с голосом, невербальная коммуникация, управление волнением, вовлечение слушателей."
16,Японский язык: азбуки хирагана и катакана,"Освоение японской письменности. Две азбуки, правила чтения, базовая грамматика, вежливая речь, культурный контекст общения."
17,Digital Marketing: стратегия и тактика,"Комплексный подход к цифровому маркетингу. SEO, контекстная реклама, email-маркетинг, SMM, контент-стратегия, веб-аналитика, воронка продаж."
18,Корейский язык для начинающих,"Введение в корейский язык. Алфавит хангыль, базовая грамматика, повседневная лексика, основы этикета, введение в K-культуру."
19,Критическое мышление и логика,"Развитие аналитических способностей. Распознавание логических ошибок, анализ аргументов, работа с информацией, принятие обоснованных решений."
20,Португальский язык: бразильский вариант,"Бразильский португальский для общения. Произношение, базовая грамматика, разговорные фразы, культурные особенности Бразилии."
21,HR и управление персоналом,"Современные HR-практики. Рекрутинг, адаптация, мотивация, оценка персонала, развитие корпоративной культуры, работа с конфликтами."
22,Турецкий язык: основы,"Базовый курс турецкого языка. Алфавит, грамматические основы, агглютинативная структура, повседневная лексика, турецкая культура."
23,Предпринимательство: от идеи до запуска,"Создание собственного бизнеса пошагово. Генерация идей, бизнес-план, поиск финансирования, юридические аспекты, маркетинг, масштабирование."
24,Арабский язык: алфавит и основы,"Введение в арабский язык. Алфавит, правила чтения, базовая грамматика, простые фразы, культурный контекст арабского мира."
25,Фотография: от любителя к профессионалу,"Искусство фотографии. Основы экспозиции, композиция, работа со светом, жанры фотографии, обработка в Lightroom, создание портфолио."
26,Польский язык для начинающих,"Основы польского языка. Алфавит, произношение, базовая грамматика, славянские особенности, повседневная лексика, польская культура."
27,Копирайтинг и контент-маркетинг,"Создание продающих текстов. Заголовки, структура текста, УТП, работа с возражениями, SEO-копирайтинг, сторителлинг, контент-стратегия."
28,Чешский язык: разговорный курс,"Практический чешский для общения. Грамматические основы, разговорная лексика, отличия от русского, культура Чехии."
29,Анализ данных для принятия решений,"Data-driven подход в бизнесе. Сбор данных, визуализация, статистический анализ, A/B тесты, создание дашбордов, презентация инсайтов."
30,Греческий язык: древний и современный,"Введение в греческий язык. Алфавит, базовая грамматика, лексика, связь с древнегреческим, культура Греции."
31,SMM: продвижение в социальных сетях,"Эффективная работа в соцсетях. Контент-планирование, таргетированная реклама, работа с сообществом, аналитика, тренды, кейсы."
32,Иврит для начинающих,"Основы современного иврита. Алфавит, письмо справа налево, базовая грамматика, повседневные фразы, культура Израиля."
33,Эмоциональный интеллект и soft skills,"Развитие эмоционального интеллекта. Самосознание, эмпатия, управление эмоциями, межличностные отношения, разрешение конфликтов."
34,Нидерландский язык: базовый курс,"Голландский язык для начинающих. Произношение, грамматические основы, базовая лексика, культура Нидерландов и Бельгии."
35,UX/UI дизайн: создание интерфейсов,"Проектирование пользовательских интерфейсов. Исследование пользователей, прототипирование, юзабилити-тестирование, визуальный дизайн, Figma."
36,Шведский язык для начинающих,"Основы шведского языка. Алфавит, произношение, базовая грамматика, повседневная лексика, скандинавская культура."
